otu_id	S1	S10	S103	S104	S11	S111	S112	S119	S12	S120	S127	S128	S136	S143	S144	S151	S152	S159	S160	S167	S168	S17	S175	S176	S18	S183	S184	S191	S192	S2	S20	S25	S26	S27	S28	S3	S33	S34	S35	S36	S4	S41	S42	S44	S49	S50	S51	S52	S57	S58	S59	S60	S65	S66	S67	S68	S73	S74	S75	S76	S81	S82	S83	S84	S89	S9	S90	S91	S92
OTU_3024	0	0	0	0	0	0	0	0	0	0	135	0	0	0	0	0	0	13	0	0	0	0	0	0	0	14	0	34	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0
OTU_2520	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	475	0	0	404	0	0	335	0	574	0	0	0	0	0	12	0	0	0	0	0	255	0	0	0	0	0	0	0	0	0	0	0	0	559	0	0	0	8	0	0	0	383	0	0	0	21	0	0	0
OTU_2589	0	0	19	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	11	20	13	0	0	0	0	0	0	0	0	0	0	0	0	0	76	0	0	0	78	0	0	70	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	27	84	0
OTU_412	0	0	42	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1824	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	725	0	0	0	3457	0	0	0	0	0	0	0	205	169	0	0	0
OTU_4032	103	0	93	47	45	91	0	0	0	0	126	19	0	66	20	0	0	0	0	304	0	738	85	0	80	0	0	0	0	20	0	0	84	277	0	19	0	177	0	461	0	197	0	305	20	31	160	234	0	0	0	0	139	0	0	0	157	0	129	0	60	0	110	0	683	13	0	322	24
OTU_4031	184	0	146	161	0	0	0	175	0	0	169	0	64	347	126	0	78	29	22	306	0	422	554	0	127	0	0	0	0	0	0	258	0	0	0	0	0	0	0	181	0	41	0	153	0	129	0	108	141	43	39	41	52	0	346	0	353	0	169	0	77	0	96	0	206	103	0	316	0
OTU_3204	93	84	87	36	0	0	216	198	0	25	216	116	73	356	78	23	21	139	41	166	11	457	176	0	255	17	12	71	50	41	0	102	99	0	17	50	22	0	0	185	16	277	25	181	61	29	38	68	187	40	33	28	71	40	0	13	207	0	52	0	169	0	21	0	207	0	34	69	0
OTU_4322	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	580	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	245	0	0	0	0	0	0	0	260	0	0	0	0	0	0	0	258	0	0	0	0	1540	0	0
OTU_1325	19	17	0	0	0	0	10	0	0	120	0	87	0	0	0	75	0	0	0	0	9	47	0	0	97	0	0	0	0	178	0	0	52	0	0	0	191	0	73	21	0	169	0	0	987	0	590	0	12	0	31	41	0	0	0	1855	0	0	0	75	0	0	0	0	0	0	0	0	509
OTU_1688	47	24	50	1099	0	21	137	316	0	52	160	47	53	240	0	27	122	92	30	212	0	103	170	0	75	12	0	561	0	22	83	64	13	16	0	46	37	0	34	174	0	72	0	40	171	0	15	116	94	0	0	322	60	0	0	20	82	0	0	0	153	0	0	0	220	22	0	0	33
OTU_1487	0	0	0	0	0	0	492	0	0	0	0	0	0	0	0	212	0	1037	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	384	0	197	0	1222	0	0	0	313	0	0	0	0	0	0	0	0	0	0	0	147	0	0	0	0
OTU_3270	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	935	0	0	0	0	0	3443	0	0	0	0	0	0	253	0	0	0	0	1102	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_4094	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	20	0	0	0	16	0	0	0	0	0	0	0	0	0	0
OTU_1347	42	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	69	0	0	302	0	0	0	0	0	0	0	0	0	0	0	663	0	0	0	259	0	47	0	0	248	0	0	103	0	0	0	105	0	0	0	0	0	0	0	0	69	0	0	0	56	0	0	55	0	86	0
OTU_3655	0	0	0	0	0	0	0	0	0	0	0	0	0	0	126	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	547	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	104	0	0	0	0	0	0	0	0	2858	0	0	0	155	0	0	0	0
OTU_714	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58	0	0	0	0
OTU_4360	26	27	59	945	14	0	69	340	0	38	187	69	43	265	15	0	98	137	35	180	0	114	179	12	55	13	0	543	21	18	38	72	12	0	0	52	46	0	0	131	24	53	0	39	144	0	0	106	73	17	8	238	54	0	0	21	93	0	0	11	113	0	0	0	213	22	0	0	21
OTU_4187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	200	0	0	0	0	619	0	0
OTU_2606	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5071	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	197	0
OTU_2740	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	90	0	0	0	0	0	0	0
OTU_3731	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	46	0	0	0	12	32	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0
OTU_3266	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	4733	0	0	36	0	209	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_2290	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_2756	13	13	0	0	0	0	0	0	0	0	0	35	0	40	191	0	0	111	17	0	131	0	0	597	13	0	254	0	175	54	14	0	46	0	140	0	28	0	19	11	124	22	20	0	11	0	22	0	10	0	91	0	0	81	0	0	0	9	9	0	0	0	0	31	0	0	595	0	8
OTU_1491	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0
