otu_id	reference_ID	phylum	class	order	family	genus	species	score	cutoff	abundance	primary_lifestyle	secondary_lifestyle	plant_endophytic_capability	plant_pathogenic_capacity	decay_substrate	decay_type	aquatic_habitat	animal_biotrophic	specific_host	growth_form	fruitbody_type	hymenium_type	ectomycorrhiza_exploration_type	ectomycorrhiza_lineage	primary_photobiont	secondary_photobiont
OTU_2083	AF549448	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Exophiala	Exophiala_pseudo_species_2083	0.8620416	0.742	13	animal_parasite	litter_saprotroph	root_endophyte_dark_septate	root-associated	leaf/fruit/seed,animal_material	""	partly_aquatic	animal_parasite/opportunistic_human_parasite	""	dimorphic_yeast	""	""	""	""	""	
OTU_71	MH339544	Ascomycota	Eurotiomycetes	Onygenales	Ajellomycetaceae	Ajellomycetaceae_pseudo_genus_0051	Ajellomycetaceae_pseudo_species_0071	0.93103	0.91	13	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
OTU_1134	AB536742	Mucoromycota	Mucoromycetes	Mucorales	Choanephoraceae	Choanephora	Choanephora_pseudo_species_1134	0.82692	0.821	13	litter_saprotroph	plant_pathogen	""	leaf/fruit/seed_pathogen	leaf/fruit/seed	mold	non-aquatic	""	""	filamentous_mycelium	none	none	""	""	""	
OTU_1135	OTU_1134	Mucoromycota	Mucoromycetes	Mucorales	Choanephoraceae	Choanephora	Choanephora_pseudo_species_1135	0.91318	0.821	13	litter_saprotroph	plant_pathogen	""	leaf/fruit/seed_pathogen	leaf/fruit/seed	mold	non-aquatic	""	""	filamentous_mycelium	none	none	""	""	""	
OTU_1629	OTU_1631	Mucoromycota	Endogonomycetes	Endogonales	Endogonales_pseudo_family_0209	Endogonales_pseudo_genus_0511	Endogonales_pseudo_species_1629	0.96552	0.906	13	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
OTU_1643	OTU_1646	Mucoromycota	Endogonomycetes	Endogonales	Endogonales_pseudo_family_0214	Endogonales_pseudo_genus_0522	Endogonales_pseudo_species_1643	0.92453	0.906	13	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
OTU_1651	UDB05309295	Mucoromycota	Endogonomycetes	Endogonomycetes_pseudo_order_0068	Endogonomycetes_pseudo_family_0221	Endogonomycetes_pseudo_genus_0529	Endogonomycetes_pseudo_species_1651	0.99005	0.642	13	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
OTU_3667	OTU_2252	Rozellomycota	Rozellomycotina_cls_Incertae_sedis	Rozellomycotina_pseudo_order_0166	Rozellomycotina_pseudo_family_0469	Rozellomycotina_pseudo_genus_1075	Rozellomycotina_pseudo_species_3667	0.6999984	0.642	13	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
OTU_3950	UDB035268	Chytridiomycota	Spizellomycetes	Spizellomycetales	Spizellomycetaceae	Spizellomyces	Spizellomyces_pseudo_species_3950	0.86735	0.847	13	pollen_saprotroph	""	""	""	pollen	""	partly_freshwater_(partly_non-aquatic)	""	""	zoosporic-rhizomycelial_(chytrid-like)	zoosporangium	closed	""	""	""	
OTU_3610	AJ239123	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Rhizophagus	Rhizophagus_pseudo_species_3610	0.92593	0.895	13	arbuscular_mycorrhizal	root-associated	root_endophyte	""	""	""	""	""	""	filamentous_mycelium	none	none	""	""	""	
OTU_2332	UDB03118785	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Glomeraceae_pseudo_genus_0589	Glomeraceae_pseudo_species_2332	0.94898	0.874	13	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
OTU_390	FJ013071	Ascomycota	Ascomycota_pseudo_class_0013	Ascomycota_pseudo_order_0032	Ascomycota_pseudo_family_0082	Ascomycota_pseudo_genus_0126	Ascomycota_pseudo_species_0390	0.7010538	0.523	13	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
OTU_1549	PP073308	Ascomycota	Sordariomycetes	Diaporthales	Diaporthaceae	Diaporthe	Diaporthe_pseudo_species_1549	0.96429	0.964	13	plant_pathogen	litter_saprotroph	foliar_endophyte	leaf/fruit/seed_pathogen	leaf/fruit/seed	""	partly_aquatic	""	""	filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)	closed	""	""	""	
OTU_1550	PP073308	Ascomycota	Sordariomycetes	Diaporthales	Diaporthaceae	Diaporthe	Diaporthe_pseudo_species_1550	0.96667	0.964	13	plant_pathogen	litter_saprotroph	foliar_endophyte	leaf/fruit/seed_pathogen	leaf/fruit/seed	""	partly_aquatic	""	""	filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)	closed	""	""	""	
OTU_1459	PP073308	Ascomycota	Sordariomycetes	Diaporthales	Diaporthaceae	Diaporthaceae_pseudo_genus_0463	Diaporthaceae_pseudo_species_1459	0.92593	0.904	13	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
