otu_id	S100	S101	S102	S105	S106	S107	S108	S109	S110	S113	S114	S115	S116	S117	S118	S121	S122	S123	S124	S125	S126	S129	S130	S131	S132	S133	S134	S137	S138	S139	S140	S141	S142	S145	S146	S147	S148	S149	S150	S153	S154	S155	S156	S157	S158	S161	S162	S163	S164	S165	S166	S169	S170	S171	S172	S173	S174	S177	S178	S179	S180	S181	S182	S185	S186	S187	S188	S189	S190	S97	S98	S99
OTU_3197	74	109	0	73	0	0	137	49	0	13	46	94	0	0	223	312	0	20	30	0	0	77	26	54	0	47	0	0	800	0	24	109	73	28	404	163	0	0	0	0	599	18	0	22	0	0	1113	0	0	0	144	0	0	0	0	464	54	0	208	350	0	0	0	0	0	206	0	155	0	0	91	0
OTU_2569	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5889	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	501	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_703	0	82	0	14	290	539	13	0	0	25	15	251	16	582	0	77	0	133	0	113	0	0	0	87	0	0	0	141	0	0	0	0	0	44	0	73	0	359	0	740	0	109	0	125	0	761	0	0	0	0	0	121	0	433	0	0	0	75	0	0	0	0	0	159	20	90	0	0	0	0	125	717
OTU_2798	312	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5516	0	0	0	0	0	0	0	0	0	0	0	221
OTU_4031	14	0	0	0	0	43	0	0	0	0	0	0	49	0	0	52	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	192	0	0	0	0	0	0	0	0	0	21	0	22
OTU_3204	0	0	0	0	13	0	0	0	0	27	0	0	0	0	0	0	16	27	12	0	0	92	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	18	0	69	0	0	0	0	0	0	0	98	0	0	14	0	0	86	0	19	0	0	0	101	0	18	0	32	0	16	0	0	0	0	0	0
OTU_4322	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	504	0	0	0	0	0	0	0	0	0	0	0	1453	0	0	0	528	0	447	0	0	0	9	0	57	0	0	0	0	0	161	0	0	0	0	0
OTU_2570	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3064	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	197	0	0	0	0	0	0	0	0	0	1591	0	0	0	0	0	1137	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1325	53	0	0	0	0	18	0	0	0	0	0	14	21	0	0	0	36	0	33	0	0	0	0	78	0	130	0	0	0	0	0	35	0	0	0	14	0	19	0	0	0	29	0	0	34	0	0	0	0	0	41	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	53	0	0	16
OTU_1688	0	0	0	19	0	0	0	0	0	10	0	38	0	13	0	47	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	13	0	0	0	15	15	0	36	0	0	0	13	0	25	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0
