otu_id	Kingdom	Phylum	Class	Order	Family	Genus	Species
OTU_13835	Bacteria	Cyanobacteria	Vampirivibrionia	Obscuribacterales	Obscuribacteraceae	""	""
OTU_13836	Bacteria	Actinobacteriota	Acidimicrobiia	IMCC26256	""	""	""
OTU_13837	Bacteria	Chloroflexi	Ktedonobacteria	Ktedonobacterales	Ktedonobacteraceae	""	""
OTU_13838	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae (Subgroup 1)	""	""
OTU_13839	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	""	""
OTU_13840	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	Gemmata	""
OTU_13841	Bacteria	Proteobacteria	Alphaproteobacteria	Elsterales	""	""	""
OTU_13842	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	""	""
OTU_13843	Bacteria	Acidobacteriota	Acidobacteriae	Bryobacterales	Bryobacteraceae	Bryobacter	""
OTU_13844	Bacteria	Actinobacteriota	Actinobacteria	Micromonosporales	Micromonosporaceae	Luedemannella	""
OTU_13845	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	""	""
OTU_13846	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae (Subgroup 1)	Acidicapsa	""
OTU_13847	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Acidicaldus	""
OTU_13848	Bacteria	Chloroflexi	Ktedonobacteria	Ktedonobacterales	Ktedonobacteraceae	HSB OF53-F07	""
OTU_13849	Bacteria	Chloroflexi	Ktedonobacteria	Ktedonobacterales	Ktedonobacteraceae	""	""
OTU_13850	Bacteria	Acidobacteriota	Acidobacteriae	Bryobacterales	Bryobacteraceae	Bryobacter	""
OTU_13851	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	""	""
OTU_13852	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	""	""
OTU_13853	Bacteria	Actinobacteriota	Actinobacteria	Streptosporangiales	Streptosporangiales Incertae Sedis	Motilibacter	""
OTU_13854	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	petrolearium
OTU_13855	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	""	""	""
OTU_13856	Bacteria	Actinobacteriota	Thermoleophilia	Gaiellales	""	""	""
OTU_13857	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	""	""
OTU_13858	Bacteria	Actinobacteriota	Actinobacteria	Propionibacteriales	Nocardioidaceae	Nocardioides	""
OTU_13859	Bacteria	Actinobacteriota	MB-A2-108	""	""	""	""
OTU_13860	Bacteria	Myxococcota	Polyangia	Haliangiales	Haliangiaceae	Haliangium	""
OTU_13861	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Acidothermaceae	Acidothermus	""
OTU_13862	Bacteria	Acidobacteriota	Holophagae	Subgroup 7	""	""	""
OTU_13866	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelotrichaceae	Turicibacter	sanguinis
OTU_13867	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	""
OTU_13868	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	""	""
OTU_13869	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	WD2101 soil group	""	""
OTU_13870	Bacteria	Gemmatimonadota	Longimicrobia	Longimicrobiales	Longimicrobiaceae	YC-ZSS-LKJ147	""
OTU_13871	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	WD2101 soil group	""	""
OTU_13872	Bacteria	Planctomycetota	Planctomycetes	Planctomycetales	Rubinisphaeraceae	SH-PL14	""
OTU_13873	Bacteria	Acidobacteriota	Blastocatellia	Pyrinomonadales	Pyrinomonadaceae	RB41	""
OTU_13874	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	""	""
OTU_13875	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Chthoniobacterales	Chthoniobacteraceae	Chthoniobacter	""
OTU_13876	Bacteria	Acidobacteriota	Acidobacteriae	Bryobacterales	Bryobacteraceae	Bryobacter	""
OTU_13877	Bacteria	Armatimonadota	Fimbriimonadia	Fimbriimonadales	Fimbriimonadaceae	""	""
OTU_13878	Bacteria	Planctomycetota	Planctomycetes	Isosphaerales	Isosphaeraceae	""	""
OTU_13879	Bacteria	Actinobacteriota	Thermoleophilia	Gaiellales	""	""	""
OTU_13880	Bacteria	Armatimonadota	Chthonomonadetes	Chthonomonadales	Chthonomonadaceae	Chthonomonas	""
OTU_13881	Bacteria	Chloroflexi	Ktedonobacteria	Ktedonobacterales	Ktedonobacteraceae	""	""
OTU_13882	Bacteria	Chloroflexi	P2-11E	""	""	""	""
OTU_13883	Bacteria	Elusimicrobiota	Lineage IIb	""	""	""	""
OTU_13890	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	""	""
