sample_id	regime	block	plot	quadrat	litter_type	community	richness_bacteria	shannon_bacteria	evenness_bacteria	pco1_49_leaf_bacteria	pco2_42_leaf_bacteria	pco1_54_soil_bacteria	pco2_40_soil_bacteria
S202	L2	C	C2	1	Grass	Leaf	359	5.16685855954727	0.878221218959054	-0.0246720779129912	0.203963891429878		
S204	L2	C	C2	2	Grass	Soil	587	6.07328326441093	0.952668175584405			-0.0211929021393421	-0.252388127048103
S210	L2	C	C2	2	Grass	Leaf	483	5.73692190731917	0.92830201419093	-0.091802670605001	0.0623586917634851		
S212	L2	C	C2	3	Grass	Soil	482	5.90540473806796	0.955885101750467			-0.0675021137833705	-0.076071462497914
S218	L2	C	C2	3	Grass	Leaf	309	4.75988441317336	0.830211247384333	-0.194047484338262	-0.0855047233869474		
S220	L2	C	C2	4	Grass	Soil	538	6.05667786211745	0.963233794807499			-0.0690667864007035	0.0231534585682755
S226	L2	C	C2	4	Grass	Leaf	389	5.12618964342335	0.859582701605005	-0.131446420879228	0.0855141955030066		
S228	L2	C	C2	1	Leaf	Soil	530	5.98443009881544	0.954016808008555			-0.0884728567192122	-0.111907387515168
S234	L2	C	C2	1	Leaf	Leaf	554	5.92613197467443	0.938099965496672	-0.0197826829885538	0.0288493934712698		
S236	L2	C	C2	2	Leaf	Soil	515	5.94571687002372	0.95220338671468			0.0768882555678774	-0.00460113412578041
S242	L2	C	C2	2	Leaf	Leaf	489	5.84214379700638	0.943443444555489	4.83734043564972e-05	-0.109137592722419		
S244	L2	C	C2	3	Leaf	Soil	575	6.09794450345669	0.959645797192433			-0.0831306249596323	0.0854623486730288
S250	L2	C	C2	3	Leaf	Leaf	452	5.62712891807161	0.920415676273513	0.0674199798628724	-0.0543280559969912		
S252	L2	C	C2	4	Leaf	Soil	584	6.07358908506056	0.9534824954789			-0.0663027762496768	-0.0793004929751381
S258	L2	C	C2	4	Leaf	Leaf	493	5.77393129699761	0.931202766567806	0.0409492503198081	-0.178036846054433		
S197	U	C	C5	1	Leaf	Soil	569	5.97343662902214	0.941606118061206			0.169640086722091	-0.105985923810138
S203	U	C	C5	1	Leaf	Leaf	541	5.97249671194944	0.949006644452289	-0.0575173010431647	-0.140696752095604		
S205	U	C	C5	2	Leaf	Soil	611	6.05951862672391	0.944571635516853			0.183678465062813	0.0141368981917842
S211	U	C	C5	2	Leaf	Leaf	453	5.59991706839864	0.915633721704396	0.0253108864173698	-0.0297550384407173		
S213	U	C	C5	3	Leaf	Soil	640	6.18755685944341	0.957608501746908			0.0568838421687356	0.141486669895265
S219	U	C	C5	3	Leaf	Leaf	459	5.65145623447547	0.922077000641775	0.0439106139121364	0.176323026111728		
S221	U	C	C5	4	Leaf	Soil	600	6.10839414178588	0.954894687141824			0.164926763048983	0.131947033563286
S227	U	C	C5	4	Leaf	Leaf	493	5.71479768613274	0.92166587061216	0.0414276252292316	-0.0596858502738545		
S260	U	C	C5	1	Grass	Soil	544	6.013547752106	0.95469061845634			0.205635958162009	0.0228229716798161
S266	U	C	C5	1	Grass	Leaf	453	5.51322153922691	0.901458270700201	-0.151435962617251	-0.0691521528317593		
S268	U	C	C5	2	Grass	Soil	551	5.98645751026873	0.948464675921985			0.0968168223918743	-0.18266327811721
S273	U	C	C5	2	Grass	Leaf	429	5.47212492940967	0.902773871463467	-0.069499134824192	0.0280931739987756		
S275	U	C	C5	3	Grass	Soil	559	6.03130825964966	0.953393258449458			0.0575968589986857	0.0094491656231071
S281	U	C	C5	3	Grass	Leaf	454	5.63369180290708	0.920824174665066	-0.0992346185844807	0.0635825031135495		
S283	U	C	C5	4	Grass	Soil	558	5.98010823300403	0.945567490487975			0.0933115827353183	-0.250448951459973
S289	U	C	C5	4	Grass	Leaf	478	5.54953365974688	0.899494943906425	-0.105909564614419	0.0283700874323713		
S229	E2	C	C6	1	Grass	Soil	592	6.11999660598033	0.95872017623297			7.3353558943128e-06	-0.0702342717308558
S235	E2	C	C6	1	Grass	Leaf	525	5.85124463488384	0.934196484012618	-0.0456425233882335	0.0302509162485046		
S237	E2	C	C6	2	Grass	Soil	552	5.94704935140292	0.941950438614261			0.0758916063189664	-0.0854041554328624
S243	E2	C	C6	2	Grass	Leaf	468	5.64984035000547	0.918902087168076	-0.0383716341604248	-0.0459558125117784		
S245	E2	C	C6	3	Grass	Soil	554	5.92253948720734	0.937531278808066			0.139603765121937	-0.152090484920838
S251	E2	C	C6	3	Grass	Leaf	321	4.80540358929589	0.832617623012289	-0.108941725428186	0.122886071402551		
S253	E2	C	C6	4	Grass	Soil	617	6.1243297166745	0.953222500550181			0.117610955386654	-0.109611132770275
S259	E2	C	C6	4	Grass	Leaf	294	4.86921067727064	0.856715463949692	0.0695311054602857	0.23360263353862		
S261	E2	C	C6	1	Leaf	Soil	596	6.14087968405498	0.960977841680432			0.0616881382824694	-0.00891280973764695
S267	E2	C	C6	1	Leaf	Leaf	318	5.18825942454193	0.900418805713357	0.173808182965033	-0.111695227453817		
S269	E2	C	C6	2	Leaf	Soil	616	6.14102155192908	0.956061877550916			0.0978999710957751	0.0984916103698739
S274	E2	C	C6	2	Leaf	Leaf	490	5.71956723947159	0.923344030354397	0.116392062901437	-0.078718025729216		
S276	E2	C	C6	3	Leaf	Soil	567	6.00829823369358	0.947627404989661			0.147235658745796	-0.0513102145282496
S282	E2	C	C6	3	Leaf	Leaf	415	5.32987011532964	0.884144635561011	0.149426286361399	-0.00636969728562799		
S284	E2	C	C6	4	Leaf	Soil	587	6.02857930897968	0.945655817719975			0.0893061641626831	0.123620963080196
S290	E2	C	C6	4	Leaf	Leaf	454	5.63955518195637	0.921782541108014	0.120452196636484	-0.0740444809911892		
