sample_id	regime	block	plot	quadrat	litter_type	community	richness_fungi	shannon_fungi	evenness_fungi	pco1_57_leaf_fungi	pco2_38_leaf_fungi	pco1_54_soil_fungi	pco2_39_soil_fungi
S161	E2	A	A5	1	Grass	Soil	185	4.23859165224847	0.811935391814959			-0.0960864192563881	-0.0356161937267909
S162	U	A	A6	1	Leaf	Soil	235	4.48309488391501	0.821141984551877			0.141188396070988	-0.0451922955034925
S163	E2	B	B5	1	Grass	Soil	151	3.59842063443664	0.717205488127805			-0.0653993893842302	0.0720345252161353
S164	U	B	B6	1	Leaf	Soil	160	3.90628340247251	0.769684654099386			0.178220609206323	0.0493550591340892
S165	U	C	C5	1	Grass	Soil	154	3.88544789082096	0.771388614806325			0.242771322647064	-0.0246041158112004
S166	E2	C	C6	1	Leaf	Soil	169	3.72709176780036	0.72654295433906			-0.0289170180216381	0.10268039907363
S167	E2	A	A5	1	Grass	Leaf	150	4.17536325289781	0.833300172099414	-0.13336659491466	0.025740417601688		
S168	U	A	A6	1	Leaf	Leaf	181	4.12172287682391	0.792868179405361	0.065438621417345	-0.192723989104078		
S169	E2	A	A5	2	Grass	Soil	125	3.30506627134778	0.684517711807683			-0.0145830369162507	0.018268542708705
S17	U	C	C5	3	Leaf	Leaf	119	3.77769228710711	0.790457139798156	-0.126930339595007	0.0140842068359244		
S170	U	A	A6	2	Leaf	Soil	108	3.20349617571918	0.684196153486878			0.20023421263083	0.0369315646875057
S171	E2	B	B5	2	Grass	Soil	210	4.61848590787868	0.863735371197777			-0.153965017192868	-0.120907879331861
S172	U	B	B6	2	Leaf	Soil	131	3.23082335900446	0.662706172656625			0.224530225571996	-0.05443991925493
S173	U	C	C5	2	Grass	Soil	199	4.34073514035772	0.820042541302851			0.108326978556424	-0.12051735897877
S174	E2	C	C6	2	Leaf	Soil	128	2.97059508236809	0.612237541974512			-0.0159033242026219	0.155507662964147
S175	E2	A	A5	2	Grass	Leaf	131	3.66553084289871	0.751873329404409	-0.174692527925947	0.0755153135235323		
S176	U	A	A6	2	Leaf	Leaf	150	3.91391050414702	0.781120611344146	0.0959171238372207	-0.211384280279265		
S177	E2	A	A5	3	Grass	Soil	162	3.85726609747127	0.758170625833484			0.0165707798096891	0.139727469265422
S178	U	A	A6	3	Leaf	Soil	164	3.7108367641201	0.727634108978671			0.229939000530544	-0.128697072727372
S179	E2	B	B5	3	Grass	Soil	204	4.06635549444124	0.764622742463143			-0.109483287342875	-0.045005031084286
S18	L2	C	C2	3	Grass	Leaf	129	3.66632402342429	0.75441677957235	0.142159329937478	0.171633964262648		
S180	U	B	B6	3	Leaf	Soil	90	1.77830369995892	0.395195314967265			0.0027791853665559	0.0846072274935774
S181	U	C	C5	3	Grass	Soil	180	4.13982215139574	0.797199412640232			0.0488497339271371	-0.0291386803600297
S182	E2	C	C6	3	Leaf	Soil	47	2.99658321845386	0.77830346481338			0.0691374797583215	0.0185409055248433
S183	E2	A	A5	3	Grass	Leaf	43	2.38454637541973	0.633985510494439	0.0132378383604271	-0.0385313494762049		
S184	U	A	A6	3	Leaf	Leaf	124	3.46716918610725	0.719287688679251	0.091938009467173	-0.208439238538522		
S185	E2	A	A5	4	Grass	Soil	236	4.70139722584193	0.860457897243031			-0.0834372742577921	-0.136443069342481
S186	U	A	A6	4	Leaf	Soil	212	4.27783918769622	0.79861295391124			0.0364196901243543	0.0216144644844645
S187	E2	B	B5	4	Grass	Soil	188	4.39106183862205	0.838558293931509			-0.150385824082834	-0.0543303577879395
S188	U	B	B6	4	Leaf	Soil	84	2.09298765570526	0.472370614883388			0.105489677441357	0.0469078060685113
S189	U	C	C5	4	Grass	Soil	151	3.77579300590293	0.752557786033295			0.0711026881079412	-0.158627268210613
S190	E2	C	C6	4	Leaf	Soil	149	3.49952662447427	0.699353352436314			-0.0407643115971121	0.19760157059791
S191	E2	A	A5	4	Grass	Leaf	136	3.91639016679851	0.797204415512636	-0.164848950566538	0.117422666270587		
S192	U	A	A6	4	Leaf	Leaf	148	3.70766244650294	0.741946157854561	0.108894885423241	-0.0937964199337381		
S2	L2	C	C2	1	Grass	Leaf	84	2.58543402190373	0.58351183072581	0.174762880679499	-0.0555569085520643		
S20	L2	B	B3	3	Grass	Leaf	104	3.59396306897982	0.773828720929638	-0.041531458032218	-0.0515066673904808		
S25	U	C	C5	4	Leaf	Leaf	111	3.47765513913855	0.738429310458501	-0.134367653430219	0.017640160230092		
S26	L2	C	C2	4	Grass	Leaf	108	3.25579821709621	0.695366716386532	0.142230162602474	0.0722822168745592		
S27	E2	B	B5	4	Leaf	Leaf	57	3.0513505355713	0.754714776893146	-0.0146201131772005	-0.0963831076845426		
