Rank	Dataset	original cut-off	original confidence	original min alignment length	Dataset with max. confidence	cut-off	confidence	min alignment length	sequence number	group number	fasta filename	classification filename
species	Spizellomycetales	0.761	0.8555	50	Spizellomycetales	0.761	0.8555	50	63	21	unite2024ITS2.unique.species.fasta	unite2024ITS2.unique.species.classification
species	Urocystidales	0.993	0.9621	50	Urocystidales	0.993	0.9621	50	97	43	unite2024ITS2.unique.species.fasta	unite2024ITS2.unique.species.classification
species	Marthamycetales	0.965	0.8141	50	All	0.988	0.8276	50	45	16	unite2024ITS2.unique.species.fasta	unite2024ITS2.unique.species.classification
species	Sclerococcales	0.962	0.957	50	Sclerococcales	0.962	0.957	50	31	19	unite2024ITS2.unique.species.fasta	unite2024ITS2.unique.species.classification
species	Agaricostilbales	0.971	0.9619	50	Agaricostilbales	0.971	0.9619	50	132	47	unite2024ITS2.unique.species.fasta	unite2024ITS2.unique.species.classification
species	Neocallimastigales	0.981	0.872	50	Neocallimastigales	0.981	0.872	50	58	13	unite2024ITS2.unique.species.fasta	unite2024ITS2.unique.species.classification
species	Chytridiales	0.928	0.878	50	Chytridiales	0.928	0.878	50	70	30	unite2024ITS2.unique.species.fasta	unite2024ITS2.unique.species.classification
species	Rhizophydiales	0.935	0.9167	50	Rhizophydiales	0.935	0.9167	50	58	31	unite2024ITS2.unique.species.fasta	unite2024ITS2.unique.species.classification
species	Septobasidiales	0.963	0.9167	50	Septobasidiales	0.963	0.9167	50	40	33	unite2024ITS2.unique.species.fasta	unite2024ITS2.unique.species.classification
species	Jahnulales	0.926	0.8776	50	Jahnulales	0.926	0.8776	50	33	17	unite2024ITS2.unique.species.fasta	unite2024ITS2.unique.species.classification
species	Archaeosporales	0.97	0.8789	50	Archaeosporales	0.97	0.8789	50	92	11	unite2024ITS2.unique.species.fasta	unite2024ITS2.unique.species.classification
species	Tremellomycetes	0.984	0.8576	50	Tremellomycetes	0.984	0.8576	50	2100	402	unite2024ITS2.unique.species.fasta	unite2024ITS2.unique.species.classification
species	Sordariomycetes	0.987	0.8085	50	All	0.988	0.8276	50	8993	3094	unite2024ITS2.unique.species.fasta	unite2024ITS2.unique.species.classification
species	Eurotiomycetes	0.986	0.8481	50	Eurotiomycetes	0.986	0.8481	50	5409	1235	unite2024ITS2.unique.species.fasta	unite2024ITS2.unique.species.classification
species	Agaricomycetes	0.989	0.7847	50	All	0.988	0.8276	50	17870	7228	unite2024ITS2.unique.species.fasta	unite2024ITS2.unique.species.classification
species	Pezizomycetes	0.972	0.789	50	All	0.988	0.8276	50	3537	821	unite2024ITS2.unique.species.fasta	unite2024ITS2.unique.species.classification
species	Lecanoromycetes	0.986	0.7428	50	All	0.988	0.8276	50	13475	3708	unite2024ITS2.unique.species.fasta	unite2024ITS2.unique.species.classification
species	Dothideomycetes	0.99	0.8471	50	Dothideomycetes	0.99	0.8471	50	8535	3131	unite2024ITS2.unique.species.fasta	unite2024ITS2.unique.species.classification
species	Leotiomycetes	0.985	0.8051	50	All	0.988	0.8276	50	5552	1574	unite2024ITS2.unique.species.fasta	unite2024ITS2.unique.species.classification
species	Saccharomycetes	0.986	0.8893	50	Saccharomycetes	0.986	0.8893	50	4493	833	unite2024ITS2.unique.species.fasta	unite2024ITS2.unique.species.classification
species	Ustilaginomycetes	0.993	0.8805	50	Ustilaginomycetes	0.993	0.8805	50	762	268	unite2024ITS2.unique.species.fasta	unite2024ITS2.unique.species.classification
species	Umbelopsidomycetes	0.952	0.8126	50	Mucoromycota	0.964	0.8723	50	190	14	unite2024ITS2.unique.species.fasta	unite2024ITS2.unique.species.classification
species	Glomeromycetes	0.967	0.7579	50	All	0.988	0.8276	50	1578	164	unite2024ITS2.unique.species.fasta	unite2024ITS2.unique.species.classification
species	Exobasidiomycetes	0.989	0.8144	50	All	0.988	0.8276	50	676	188	unite2024ITS2.unique.species.fasta	unite2024ITS2.unique.species.classification
species	Orbiliomycetes	0.97	0.7791	50	All	0.988	0.8276	50	763	298	unite2024ITS2.unique.species.fasta	unite2024ITS2.unique.species.classification
species	Pezizomycotina_cls_Incertae_sedis	0.987	0.9347	50	Pezizomycotina_cls_Incertae_sedis	0.987	0.9347	50	167	136	unite2024ITS2.unique.species.fasta	unite2024ITS2.unique.species.classification
species	Pucciniomycetes	0.985	0.8351	50	Pucciniomycetes	0.985	0.8351	50	1476	375	unite2024ITS2.unique.species.fasta	unite2024ITS2.unique.species.classification
species	Microbotryomycetes	0.989	0.8475	50	Microbotryomycetes	0.989	0.8475	50	1066	160	unite2024ITS2.unique.species.fasta	unite2024ITS2.unique.species.classification
species	Mucoromycetes	0.964	0.8795	50	Mucoromycetes	0.964	0.8795	50	1965	200	unite2024ITS2.unique.species.fasta	unite2024ITS2.unique.species.classification
species	Cystobasidiomycetes	0.966	0.8117	50	All	0.988	0.8276	50	289	60	unite2024ITS2.unique.species.fasta	unite2024ITS2.unique.species.classification
species	Lichinomycetes	0.947	0.9508	50	Lichinomycetes	0.947	0.9508	50	88	54	unite2024ITS2.unique.species.fasta	unite2024ITS2.unique.species.classification
species	Coniocybomycetes	0.981	0.7605	50	All	0.988	0.8276	50	90	27	unite2024ITS2.unique.species.fasta	unite2024ITS2.unique.species.classification
species	Mortierellomycetes	0.971	0.8328	50	Mortierellomycetes	0.971	0.8328	50	425	55	unite2024ITS2.unique.species.fasta	unite2024ITS2.unique.species.classification
species	Ascomycota_cls_Incertae_sedis	0.955	0.9703	50	Ascomycota_cls_Incertae_sedis	0.955	0.9703	50	102	52	unite2024ITS2.unique.species.fasta	unite2024ITS2.unique.species.classification
species	Candelariomycetes	0.975	0.7499	50	All	0.988	0.8276	50	175	45	unite2024ITS2.unique.species.fasta	unite2024ITS2.unique.species.classification
species	Malasseziomycetes	0.983	0.9561	50	Malasseziomycetes	0.983	0.9561	50	456	13	unite2024ITS2.unique.species.fasta	unite2024ITS2.unique.species.classification
species	Geoglossomycetes	0.955	0.7475	50	All	0.988	0.8276	50	167	52	unite2024ITS2.unique.species.fasta	unite2024ITS2.unique.species.classification
species	Agaricostilbomycetes	0.971	0.9584	50	Agaricostilbomycetes	0.971	0.9584	50	137	51	unite2024ITS2.unique.species.fasta	unite2024ITS2.unique.species.classification
species	Laboulbeniomycetes	0.899	0.9667	50	Laboulbeniomycetes	0.899	0.9667	50	58	20	unite2024ITS2.unique.species.fasta	unite2024ITS2.unique.species.classification
species	Dacrymycetes	0.96	0.9406	50	Dacrymycetes	0.96	0.9406	50	96	32	unite2024ITS2.unique.species.fasta	unite2024ITS2.unique.species.classification
species	Arthoniomycetes	0.976	0.8715	50	Arthoniomycetes	0.976	0.8715	50	419	142	unite2024ITS2.unique.species.fasta	unite2024ITS2.unique.species.classification
